figure_type,figure_no,title_name,variable,flip_sign,variable_rename,ref_type,ref_value,regions,models,years,scenarios,type,position,x,y,facet1,facet2,show_net,color,page_filter,scales
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Coal,0,Coal,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Gas,0,Gas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Oil,0,Oil,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Electricity,0,Electricity,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Hydrogen,0,Hydrogen,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biogas,0,Biogas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biomass Liquids,0,Biomass Liquids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biomass Solids,0,Biomass Solids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Synthetic Gas,0,Synthetic Gas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Synthetic Liquids,0,Synthetic Liquids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Electricity,0,Electricity,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Biogas,0,Biogas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Biomass Liquids,0,Biomass Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Biomass Solids,0,Biomass Solids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Biomass,0,Biomass,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Geothermal,0,Geothermal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Hydro,0,Hydro,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Nuclear,0,Nuclear,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Ocean,0,Ocean,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Other,0,Other,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Solar,0,Solar,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Storage Capacity,0,Storage,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,16,Electricity Capacity - Difference from LEEP,Capacity|Electricity|Wind,0,Wind,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Biomass,0,Biomass,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Geothermal,0,Geothermal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Hydro,0,Hydro,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Nuclear,0,Nuclear,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Ocean,0,Ocean,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Solar,0,Solar,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,17,Electricity Generation - Difference from LEEP,Secondary Energy|Electricity|Wind,0,Wind,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Electricity,0,Electricity,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Biogas,0,Biogas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Biomass Liquids,0,Biomass Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Biomass Solids,0,Biomass Solids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,18,Final Energy - Buildings  - Difference from LEEP,Final Energy|Buildings|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Electricity,0,Electricity,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Biogas,0,Biogas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Biomass Liquids,0,Biomass Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Biomass Solids,0,Biomass Solids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,19,Final Energy - Industry  - Difference from LEEP,Final Energy|Industry|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Gas,0,Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Oil,0,Oil,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Electricity,0,Electricity,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Biogas,0,Biogas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Biomass Liquids,0,Biomass Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,20,Final Energy - Transportation  - Difference from LEEP,Final Energy|Transportation|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Electricity,0,Electricity,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Hydrogen,0,Hydrogen,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Petroleum Refining,0,Refining,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Biogas,0,Biogas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Biomass Liquids,0,Biomass Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Synthetic Gas,0,Synthetic Gas,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,21,Secondary Energy  - Difference from LEEP,Secondary Energy|Synthetic Liquids,0,Synthetic Liquids,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,22,Energy CO2 Emissions Accounting - total supply  - Difference from LEEP,Emissions|CO2|Energy|Supply,0,Supply,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,22,Energy CO2 Emissions Accounting - total supply  - Difference from LEEP,Emissions|CO2|Energy|Demand|Industry,0,Industry,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,22,Energy CO2 Emissions Accounting - total supply  - Difference from LEEP,Emissions|CO2|Energy|Demand|Transportation,0,Transportation,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,22,Energy CO2 Emissions Accounting - total supply  - Difference from LEEP,Emissions|CO2|Energy|Demand|Buildings,0,Buildings,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,23,Energy CO2 Emissions by Sector - Difference from GCAM,Emissions|CO2|Energy|Supply,0,Supply,model,GCAM,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,23,Energy CO2 Emissions by Sector - Difference from GCAM,Emissions|CO2|Energy|Demand|Industry,0,Industry,model,GCAM,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,23,Energy CO2 Emissions by Sector - Difference from GCAM,Emissions|CO2|Energy|Demand|Transportation,0,Transportation,model,GCAM,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,23,Energy CO2 Emissions by Sector - Difference from GCAM,Emissions|CO2|Energy|Demand|Buildings,0,Buildings,model,GCAM,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,24,Energy CO2 Emissions by Sector - Difference from USREP,Emissions|CO2|Energy|Supply,0,Supply,model,USREP-ReEDS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,24,Energy CO2 Emissions by Sector - Difference from USREP,Emissions|CO2|Energy|Demand|Industry,0,Industry,model,USREP-ReEDS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,24,Energy CO2 Emissions by Sector - Difference from USREP,Emissions|CO2|Energy|Demand|Transportation,0,Transportation,model,USREP-ReEDS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,24,Energy CO2 Emissions by Sector - Difference from USREP,Emissions|CO2|Energy|Demand|Buildings,0,Buildings,model,USREP-ReEDS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,25,Energy CO2 Emissions by Sector - Difference from NEMS,Emissions|CO2|Energy|Supply,0,Supply,model,OP-NEMS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,25,Energy CO2 Emissions by Sector - Difference from NEMS,Emissions|CO2|Energy|Demand|Industry,0,Industry,model,OP-NEMS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,25,Energy CO2 Emissions by Sector - Difference from NEMS,Emissions|CO2|Energy|Demand|Transportation,0,Transportation,model,OP-NEMS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,25,Energy CO2 Emissions by Sector - Difference from NEMS,Emissions|CO2|Energy|Demand|Buildings,0,Buildings,model,OP-NEMS,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
